Tweets,Retweets,Favorite Tweets,Location
Listen to the full Jackie soundtrack -  ,,,
Absolutely stunning #natalieportman -  ,,,
Jackie lands six Critics Choice Awards nominations - ,,,
Natalie attends Jackie premiere in Washington -  ,,,
Your Natalie calendar for December has arrived -  ,,,
Natalie is on the cover of Style Magazine -  ,,,
New clip and TV spot for Jackie -  ,,,
A dozen new Jackie stills have arrived -  ,,,
Natalie on The Tonight Show with Jimmy Fallon - ,,,
Natalie's appearance on the Today Show is here - ,,,
Natalie Portman on the Variety podcast -  ,,,
Natalie attended the Gotham Independent Film Awards last night -   ,,,
A clip from Natalie's Actors on Actors appearance is here -  ,,,
Natalie will be on the Today Show this morning -  ,,,
Natalie Portman in New York Magazine is...wow -  ,,,
For your consideration #jackie #bestactress -  ,,,
"Natalie at an even for The Seventh Fire, the doc she produced - ",,,
Natalie and other best actress hopefuls are interviewed by The Envelope -  ,,,
Congrats to Natalie for her Indie Spirit Award nomination. Jackie received 4 noms in total - ,,,
Great Natalie photos from Jackie and Planetarium -  ,,,
Natalie Portman talk part in the THR actress roundtable discussion -  ,,,
Paparazzi are on hand to capture another set of Natalie candids -  ,,,
Planetarium is now in French cinemas -  ,,,
Natalie at another Jackie screening -  ,,,
How about some red carpet interview videos of Natalie from AFI Fest - ,,,
Natalie Portman on the red carpet at AFI Fest -  ,,,
The second trailer for Jackie has arrived! - ,,,
Natalie and Michelle Williams record Actors on Actors episode -  ,,,
Portraits of Natalie from Jackie press conference -  ,,,
A cool look inside a press junket as Natalie talks Jackie -  ,,,
Natalie wins award at Israel Film Festival -  ,,,
Natalie out and about in Los Feliz -  ,,,
Mathilda + Eleven suggested by Luc Besson's daughter -  ,,,
Videos of Natalie on the red carpet from last night's event -  ,,,
Natalie won for Jackie at the Hollywood Film Awards -  ,,,
Natalie talks Planetarium on Canal+ -  ,,,
Natalie Halloween shopping -  ,,,
SNEAK PEEK at Natalie in upcoming Marie Claire France -  ,,,
Info on the upcoming soundtracks for Planetarium and Jackie - ,,,
MUST SEE stills of Natalie in Planetarium -  ,,,
"Natalie, Benjamin and baby bump go for a walk -  ",,,
Natalie Portman wallpaper calendar for November is here #halloween -  ,,,
30 min Jackie screening Q&amp;A video with Natalie Portman - ,,,
"Variety interviews Natalie, the director and writer about Jackie - ",,,
And another set of Natalie on her own -  ,,,
Natalie and Benjamin out and about -  ,,,
Jackie news roundup. Come and get it! -  ,,,
More photos of Natalie out and about in Los Feliz -  ,,,
A roundup of Jackie-related articles and interviews - ,,,
Natalie Portman out and about in Los Feliz -  ,,,
We've added some great new HQ Natalie Portman portraits from @TIFF_NET -  ,,,
Tons of great Natalie Portman news in this roundup - ,,,
Two videos of Natalie discussing Jackie and pregnancy are here - ,,,
A bunch of new Natalie as Jackie stills have arrived -  ,,,
Natalie has been nominated for a Gotham award - ,,,
Natalie Portman attends book launch with some famous friends -  ,,,
"Wow, love these new Natalie film stills from Jackie and Planetarium -  ",,,
Natalie Portman rocking @CHANEL -  ,,,
A new Natalie Portman environmental and election video and more in this roundup of news - ,,,
Natalie Portman video interviews from NYFF are here - ,,,
Natalie Portman looked gorgeous on the red carpet for NYFF -  ,,,
"Listen to Natalie narrating a spooky new book, plus another RAVE for Jackie and more here - ",,,
Natalie is in NY for the NYFF -  ,,,
"Natalie was in Philadelphia today, attending events to support @HillaryClinton -  ",,,
Natalie gives Q&amp;A at SAG screening for Jackie -  ,,,
So what did you think of the Jackie trailer? Vote now! - ,,,
Jackie is heading to even more festivals - ,,,
The #Jackie poster and trailer have arrived! -  ,,,
Wow...another stunning Natalie portrait from TIFF -  ,,,
Cool video of Natalie at the Christian Dior from Paris Fashion Week -  ,,,
"RT @tcedillo: @natpdotcom @Behance portfolio: ""Mathilda, The Professional"" ",,,
Natalie Portman wallpaper calendar for October is here -  ,,,
Natalie is at Paris Fashion Week -  ,,,
Thanks! ,,,
Jackie (and Natalie?) are heading to the NY Film Festival - ,,,
Natalie talking about Jackie on video - ,,,
Natalie Portman and the family in Silver Lake -  ,,,
Another stunning Natalie Portman portrait from @TIFF_NET - ,,,
Jackie is arriving earlier than expected - ,,,
"Natalie's ex, Devendra Banhart, has some really sweet things to say about her - ",,,
Candid photos of Natalie out and about in LA -  ,,,
Natalie back in LA -  ,,,
Natalie video interview and classic polaroid photo in these Planetarium tidbits -  ,,,
Natalie Portman in Vanity Fair Italia -  ,,,
Jackie wins big at TIFF - ,,,
Check out these fan made Jackie posters -  ,,,
A bunch of Jackie updates including more rave reviews for Natalie - ,,,
What is the best Natalie news of recent weeks? - ,,,
Want even more Natalie portraits from TIFF? Of course you do! -  ,,,
Cool video of Natalie and the Plaentarium team interviewed by THR - ,,,
More Natalie portraits from TIFF! -  ,,,
See all the photos from the @TIFF_NET premiere of Jackie here -  ,,,
Jackie gets a December 9 release date - ,,,
BTS photos of Natalie talking Jackie at TIFF -  ,,,
Natalie Portman portraits from @TIFF_NET including a MUST SEE dancing gif -  ,,,
The rave reviews for Jackie continue at @TIFF_NET -  ,,,
Natalie and Lily-Rose at the @TIFF_NET premiere of Planetarium -  ,,,
TIFF portrait and video of Natalie here -  ,,,
Natalie Portman at the Planetarium after party -  ,,,
It seems as if Natalie Portman is expecting baby number 2 #groundhogday -  ,,,
Natalie looks stunning on the red carpet for Planetarium -  ,,,
Natalie Portman at the Venice photocall for Planetarium -  ,,,
New Planetarium clips and reviews are here -  ,,,
Natalie Portman on the red carpet in Venice #Jackie -  ,,,
Natalie Portman at the Venice photocall for Jackie -  ,,,
More photos of Natalie Portman in Venice. Lots more to come. -  ,,,
More Jackie impressions from Twitter are here - ,,,
First clip and euphoric reviews of Jack and Natalie Portman's performance in it -  ,,,
Natalie arrives in Venice for the film festival - ,,,
Scenes from Jackie have been seen. Click to find out what people are saying - ,,,
More gorgeous Natalie Portman attitude for @dior -  ,,,
Great new Natalie drawing from Andrew -  ,,,
Some great new BTS photos of Natalie from Dior Rouge -  ,,,
September's stunning Natalie Portman calendar is here -  ,,,
Natalie's Rouge Dior launches tomorrow but we've already got some cool content up -  ,,,
We've got some Planetarium updates for ya -  ,,,
And Natalie on Popcorn -  ,,,
Natalie talks ATOLAD on Fox - ,,,
Natalie out and about in LA -  ,,,
Natalie's full video interview with AOL Build is here -  ,,,
Natalie's Jimmy Kimmel appearance is here -  ,,,
Natalie Portman is on the cover of Modern Luxury -  ,,,
New and much better trailer for Planetarium is here -  ,,,
A #natalieportman headshot to knock you on your ass -  ,,,
Watch Natalie talk about her career for over an hour on Reel Pieces - ,,,
Some gorgeous new #natalieportman photos from Dior Rouge -  ,,,
Been awhile since we've had some Natalie art. Enjoy! -  ,,,
Natalie gave a Q&amp;A at Landmark theatre for ATOLAD -  ,,,
Natalie getting shirty in SOHO -  ,,,
Natalie Portman's interview in The Guardian is here -  ,,,
Natalie Portman looking oh so fine out and about in NY -  ,,,
Natalie Portman stands with fellow celebs for We Day -  ,,,
Natalie Portman on AOL Build this morning -  ,,,
Some great photos of Natalie and Lily-Rose from Madame Figaro -  ,,,
The new Natalie Rouge Dior video is hot as hell -  ,,,
Sounds like Natalie Portman is done with Marvel. That and more in new video interview -  ,,,
The poster for Planetarium has arrived -  ,,,
Natalie's full appearance on Charlie Rose is here -  ,,,
#natalieportman at the ATOLAD premiere and after party -  ,,,
Two new candid sets of Natalie out and about in NY yesterday -  ,,,
Natalie Portman is the guest on Charlie Rose tonight! -  ,,,
Natalie was just on Good Morning America -  ,,,
Jackie gets a composer and Weightless finally gets a release date - ,,,
Natalie Portman in stunning HQ Dior Rouge photo -  ,,,
And here are some photos to go with the interview -  ,,,
Natalie Portman's new interview in the LA Times is here - ,,,
"Just announced, Jackie is heading to TIFF as well - ",,,
More awesome #Natalieportman imagery from @dior -  ,,,
Check out some more photos of #natalieportman on stage talking about ATOLAD - ,,,
Another gorgeous new Dior video for your viewing pleasure - ,,,
Smiling new Natalie Portman for @Dior -  ,,,
Natalie Portman is in next month's Vanity Fair -  ,,,
Natalie will star and produce an upcoming HBO miniseries. Read all about it here - ,,,
A couple stunning new Natalie Portman photos from Marie Claire SK -  ,,,
Natalie Portman in the park -  ,,,
New #natalieportman @dior ad goes large on the lipstick -  ,,,
The new Natalie Portman wallpaper calendar for August is here -  ,,,
Let's see how long these new links to the Planetarium trailer hold out -  ,,,
The Miss Dior teaser site is live -  ,,,
More candids of Natalie out and about in LA -  ,,,
The Planetarium trailer was taken down. Hopefully a more official source will pop up soon for those who missed it.,,,
Natalie Portman speaks French in the first trailer for Planetarium -  ,,,
The preview of Natalie's new Dior video is SMOKING HOT - ,,,
Some of the media are kicking up another round of Natalie Portman pregnancy speculation -  ,,,
Jackie and Planetarium are heading to the Venice Film Festival - ,,,
Planetarium is heading to @TIFF_NET in September! - ,,,
Natalie and Benjamin back in LA -  ,,,
Natalie's directorial debut gets a new trailer -  ,,,
Natalie and Lily Rose in new Planetarium still -  ,,,
3 fantastic new #natalieportman @Dior photos are here -  ,,,
HQ photos from Natalie's NY Times photoshoot are here -  ,,,
Natalie's NY Times video is...interesting - ,,,
@iktriad Cool thanks!,,,
Natalie Portman's NY Times piece is here. A great article and even better photos -  ,,,
Natalie Portman turns up the heat in two new photos -  ,,,
Natalie rocks a massive VIP badge at Hyde Park -  ,,,
Natalie Portman attends concert in Hyde Park with Julianne Moore -  ,,,
Natalie Portman and Rashida Jones were at Wimbledon today - ,,,
Updates on 3 of Natalie's upcoming films - ,,,
Natalie Portman looking luxurious in new @dior behind the scenes image -  ,,,
New Natalie photo from an old Dior shoot. Happy July 4th! -  ,,,
"James Franco's UCLA student film, which Natalie acts in, has a poster and a trailer -  ",,,
@cavadova_x Did you make this?,,,
Looking good. ,,,
@David_Lives You're welcome!,,,
We've set up a wakelet for a collection of Natalie Portman videos. Check it out and lend us a hand - ,,,
Fiery preview of Natalie's upcoming Dior Rouge campaign -  ,,,
#natalieportman making dreams come true -  ,,,
Natalie not thrilled to be found by the paps in London. Thankfully this is more rare these days - ,,,
Stunning new #natalieportman @Dior photos previewing new campaign -  ,,,
Natalie speaks some French in the new Miss Dior video - ,,,
New Planetarium still sees #natalieportman rocking glasses -  ,,,
New HQ #NataliePortman portraits -  ,,,
A great new #natalieportman photo from #blackswan has emerged -  ,,,
First set photos of #natalieportman in Annihilation -  ,,,
"RT @MinkosD: Here's a tribute to @natpdotcom  on her 35th birthday from our team. 

Happy birthday Natalie Portman!",,,
RT @Dibujocreativo: Happy Birthday #NataliePortman @natpdotcom @nataliepbr @natalie025 ,,,
RT @ScreenPrism: Happy Birthday #NataliePortman. We got you a #BlackSwan video essay:  @natpdotcom ,,,
"Happy birthday, Natalie Portman! ",,,
Portmania Day 3 -  ,,,
Portmania Day 1 - ,,,
9 new Jane Got a Gun posers have arrived -  ,,,
The new Natalie Portman calendar for June is here -  ,,,
"Jackie, Annihilation and more in today's tidbits - ",,,
We've got a ton of HD screengrabs for you from Jane Got A Gun -  ,,,
Natalie's upcoming @XDolan film has a teaser poster -  ,,,
Natalie's directing debut to air on French  TV on Thursday -  ,,,
Confirmed: Natalie Portman will not be in Thor: Ragnarok -  ,,,
Jackie footage is causing a stir among buyers in Cannes - ,,,
Here is an extra image from last year's Cannes shoot -  ,,,
Want to know more about Natalie's Annihilation? #scifi #horror - ,,,
Annihilation is filming! -  ,,,
A new still from Natalie Portman's A Tale of Love and Darkness -  ,,,
Striking new Natalie Portman photo and interview -  ,,,
The Natalie Portman calendar for May is here -  ,,,
Watch Natalie's full French TV appearance from today -  ,,,
